"PRODUCERSOURCECD","ytd_pretax_income","ytd_tax","income_year"
"AG004132",9988000.00,499399.00,2017
"AG004136",58842541.00,2942126.00,2017
"AG004159",24660534.00,1233025.00,2017
"AG004160",8719864.00,435992.00,2017
"AG004171",93770545.00,4688525.00,2017
"AG004172",130787895.00,6539394.00,2017
"AG004175",10675560.00,533776.00,2017
"AG004181",36672567.00,1833627.00,2017
"AG004189",1441200.00,72060.00,2017
"AG004194",7041225.00,352061.00,2017
"AG004240",30640829.00,1532040.00,2017
"AG004241",3158900.00,157944.00,2017
"AG004242",1749100.00,87455.00,2017
"AG004244",2646740.00,132337.00,2017
"AG004257",3094047.00,154701.00,2017
"AG004258",785550.00,39277.00,2017
"AG004262",817650.00,40882.00,2017
"AG004269",4045100.00,202255.00,2017
"AG004272",1909775.00,95487.00,2017
"AG004275",23581014.00,1179049.00,2017
"AG004277",4716223.00,235810.00,2017
"AG004283",11183150.00,559157.00,2017
"AG004288",15326924.00,766344.00,2017
"AG004290",1344925.00,67246.00,2017
"AG004296",1371275.00,68562.00,2017
"AG004310",2694050.00,134702.00,2017
"AG004314",796325.00,39816.00,2017
"AG004321",15901769.00,795087.00,2017
"AG004357",22890210.00,1144508.00,2017
"AG004365",24915847.00,1245791.00,2017
"AG004384",2440980.00,122049.00,2017
"AG004388",52196504.00,2609823.00,2017
"AG004392",52529685.00,2626483.00,2017
"AG004393",3043850.00,152192.00,2017
"AG004403",72759009.00,3637949.00,2017
"AG004412",1783304513.00,89165223.00,2017
"AG004413",1121393980.00,56069696.00,2017
"AG004414",1110790167.00,55539506.00,2017
"AG004415",1347851903.00,67392594.00,2017
"AG004416",702874818.00,35143739.00,2017
"AG004420",1672275.00,83613.00,2017
"AG004421",359877416.00,17993870.00,2017
"AG004436",10425521.00,521274.00,2017
"AG004460",31187611.00,1559379.00,2017
"AG004462",5621700.00,281085.00,2017
"AG004464",13708542.00,685426.00,2017
"AG004466",13155405.00,657769.00,2017
"AG004470",906200.00,45310.00,2017
"AG004483",961100.00,48054.00,2017
"AG004489",9893831.00,494691.00,2017
"AG004493",2416050.00,120802.00,2017
"AG004496",287963099.00,14398153.00,2017
"AG004502",577500.00,28875.00,2017
"AG004504",2305800.00,115289.00,2017
"AG004516",203006910.00,10150344.00,2017
"AG004543",3297600.00,164879.00,2017
"AG004544",6825550.00,341276.00,2017
"AG004556",888400.00,44420.00,2017
"AG004559",4708440.00,235421.00,2017
"AG004561",39373565.00,1968677.00,2017
"AG004582",8748662.00,437432.00,2017
"AG004584",19056176.00,952807.00,2017
"AG004585",26198950.00,1309947.00,2017
"AG004609",1647800.00,82389.00,2017
"AG004611",733675.00,36683.00,2017
"AG004618",554697353.00,27734866.00,2017
"AG004648",2031825.00,101591.00,2017
"AG004649",131090743.00,6554535.00,2017
"AG004650",43749998.00,2187498.00,2017
"AG004651",5922254.00,296112.00,2017
"AG004652",2024400.00,101220.00,2017
"AG004660",220362691.00,11018133.00,2017
"AG004661",858000.00,42900.00,2017
"AG004664",1013550.00,50677.00,2017
"AG004670",773025.00,38650.00,2017
"AG004689",337125.00,16856.00,2017
"AG004692",526575.00,26328.00,2017
"AG004693",282975.00,14148.00,2017
"AG004703",9548387.00,477419.00,2017
"AG004714",7839675.00,391982.00,2017
"AG004718",1231472.00,61572.00,2017
"AG004721",28570010.00,1428499.00,2017
"AG004738",1224450.00,61222.00,2017
"AG004743",47879188.00,2393958.00,2017
"AG004747",6133935.00,306695.00,2017
"AG004748",14680350.00,734015.00,2017
"AG004765",762675.00,38133.00,2017
"AG004774",16423788.00,821188.00,2017
"AG004775",388490392.00,19424517.00,2017
"AG004776",62739872.00,3136992.00,2017
"AG004791",11542574.00,577127.00,2017
"AG004792",632880.00,31644.00,2017
"AG004798",487025.00,24351.00,2017
"AG004800",28598139.00,1429905.00,2017
"AG004804",3229659.00,161482.00,2017
"AG004824",358400.00,17920.00,2017
"AG004830",3082860.00,154142.00,2017
"AG004831",7126900.00,356345.00,2017
"AG004843",2829450.00,141472.00,2017
"AG004846",1492280.00,74614.00,2017
"AG004848",5131760.00,256588.00,2017
"AG004856",17924105.00,896204.00,2017
"AG004857",585840.00,29291.00,2017
"AG004865",247835333.00,12391765.00,2017
"AG004871",16383705.00,819184.00,2017
"AG004895",43243657.00,2162181.00,2017
"AG004899",568550.00,28427.00,2017
"AG004903",3000000.00,150000.00,2017
"AG004904",247797.00,12389.00,2017
"AG004907",1270575.00,63528.00,2017
"AG004910",2564665.00,128232.00,2017
"AG004913",6750864.00,337542.00,2017
"AG004914",1522200.00,76110.00,2017
"AG004925",72699970.00,3634996.00,2017
"AG004939",7052625.00,352630.00,2017
"AG004945",66574225.00,3328710.00,2017
"AG004953",16462074.00,823102.00,2017
"AG004969",20320337.00,1016015.00,2017
"AG004985",3774300.00,188714.00,2017
"AG004989",1394250.00,69712.00,2017
"AG004991",3167525.00,158376.00,2017
"AG005004",8521680.00,426084.00,2017
"AG005032",4075350.00,203766.00,2017
"AG005046",10419652.00,520982.00,2017
"AG005053",611775.00,-384138.00,2017
"AG005067",1354125.00,67706.00,2017
"AG005072",6519875.00,325993.00,2017
"AG005073",6572025.00,328600.00,2017
"AG005074",4527769.00,226388.00,2017
"AG005078",647325.00,32366.00,2017
"AG005079",157401267.00,7870061.00,2017
"AG005087",187836894.00,9391843.00,2017
"AG005093",910200.00,45510.00,2017
"AG005094",3088200.00,154410.00,2017
"AG005105",16558164.00,827907.00,2017
"AG005113",22444548.00,1122226.00,2017
"AG005114",338025.00,-1063099.00,2017
"AG005118",186423696.00,9321182.00,2017
"AG005126",4916700.00,245835.00,2017
"AG005137",10537522.00,526875.00,2017
"AG005140",775600.00,38779.00,2017
"AG005142",663475.00,33173.00,2017
"AG005144",420650.00,21032.00,2017
"AG005146",604800.00,30240.00,2017
"AG005155",11692125.00,584605.00,2017
"AG005168",4376075.00,218803.00,2017
"AG005177",19082764.00,954137.00,2017
"AG005183",1206750.00,60337.00,2017
"AG005187",869600.00,43480.00,2017
"AG005189",4545319.00,227265.00,2017
"AG005192",129737596.00,6486878.00,2017
"AG005193",20073106.00,1003654.00,2017
"AG005196",21270632.00,1063530.00,2017
"AG005203",573150.00,28657.00,2017
"AG005208",50725937.00,2536295.00,2017
"AG005209",9880360.00,494017.00,2017
"AG005211",389550.00,19477.00,2017
"AG005213",1500700.00,75035.00,2017
"AG005215",2206305.00,110314.00,2017
"AG005218",4194102.00,209705.00,2017
"AG005225",13429937.00,671495.00,2017
"AG005226",7473650.00,373681.00,2017
"AG005232",14549981.00,727499.00,2017
"AG005238",26493071.00,1324652.00,2017
"AG005252",23980682.00,1199033.00,2017
"AG005265",60717080.00,3035854.00,2017
"AG005268",1040400.00,52020.00,2017
"AG005278",9713440.00,485671.00,2017
"AG005282",8863252.00,443162.00,2017
"AG005288",4723972.00,236197.00,2017
"AG005292",8502051.00,425102.00,2017
"AG005303",36907969.00,1845398.00,2017
"AG005307",15978887.00,798944.00,2017
"AG005309",2909100.00,145455.00,2017
"AG005322",2889695.00,144484.00,2017
"AG005325",904400.00,45220.00,2017
"AG005326",4280600.00,214030.00,2017
"AG005333",3441980.00,172098.00,2017
"AG005334",7633901.00,381695.00,2017
"AG005338",95853926.00,4792694.00,2017
"AG005339",39008765.00,1950437.00,2017
"AG005353",84881573.00,4244078.00,2017
"AG005354",2454371.00,122718.00,2017
"AG005355",4084220.00,204210.00,2017
"AG005382",181050.00,9052.00,2017
"AG005388",2088910.00,104445.00,2017
"AG005391",42208757.00,2110436.00,2017
"AG005393",11380299.00,569013.00,2017
"AG005394",1316700.00,65835.00,2017
"AG005398",529800.00,26490.00,2017
"AG005402",4929082.00,246454.00,2017
"AG005407",3642720.00,182135.00,2017
"AG005431",531441092.00,26572052.00,2017
"AG005434",126347800.00,6317388.00,2017
"AG005435",202025755.00,10101287.00,2017
"AG005441",45964999.00,2298248.00,2017
"AG005444",29756346.00,1487816.00,2017
"AG005447",42624957.00,2131246.00,2017
"AG005449",12784478.00,639222.00,2017
"AG005457",12967680.00,648383.00,2017
"AG005458",247797.00,12389.00,2017
"AG005460",743420.00,37170.00,2017
"AG005475",2206250.00,110312.00,2017
"AG005494",1082916.00,54144.00,2017
"AG005501",765000.00,38250.00,2017
"AG005509",1931325.00,96566.00,2017
"AG005518",79418607.00,3970928.00,2017
"AG005527",45452596.00,2272628.00,2017
"AG005532",6946610.00,347330.00,2017
"AG005537",328163769.00,16408187.00,2017
"AG005539",1434525.00,71726.00,2017
"AG005564",1948320.00,97416.00,2017
"AG005593",23690219.00,1184509.00,2017
"AG005594",971700.00,48585.00,2017
"AG005596",2562975.00,128148.00,2017
"AG005607",2321625.00,116080.00,2017
"AG005609",34853772.00,1742687.00,2017
"AG005641",4530721.00,226535.00,2017
"AG005646",24845591.00,1242278.00,2017
"AG005657",5217228.00,260860.00,2017
"AG005662",1220700.00,61035.00,2017
"AG005671",10490200.00,524509.00,2017
"AG005683",146313549.00,7315675.00,2017
"AG005687",9941414.00,497070.00,2017
"AG005689",1911675.00,95583.00,2017
"AG005726",31496975.00,1574847.00,2017
"AG005735",3860460.00,193023.00,2017
"AG005745",612025.00,30601.00,2017
"AG005755",14640309.00,732015.00,2017
"AG005756",2041585.00,102078.00,2017
"AG005758",13530625.00,676530.00,2017
"AG005778",229839980.00,11491997.00,2017
"AG005788",6791431.00,339571.00,2017
"AG005789",6580036.00,329000.00,2017
"AG005790",12211016.00,610550.00,2017
"AG005791",12426226.00,621310.00,2017
"AG005792",1527033.00,76350.00,2017
"AG005801",1321200.00,66060.00,2017
"AG005813",1192648.00,59631.00,2017
"AG005816",8149050.00,407451.00,2017
"AG005817",9056095.00,452804.00,2017
"AG005821",5282350.00,264117.00,2017
"AG005829",4963177.00,248157.00,2017
"AG005837",652650.00,32632.00,2017
"AG005848",4250600.00,212530.00,2017
"AG005856",2855500.00,142775.00,2017
"AG005863",6545220.00,327261.00,2017
"AG005867",5194584.00,259729.00,2017
"AG005894",6577750.00,328887.00,2017
"AG005898",251039978.00,12551997.00,2017
"AG005900",324621205.00,16231058.00,2017
"AG005901",2054975.00,102748.00,2017
"AG005902",11893934.00,594695.00,2017
"AG005913",24397560.00,1219877.00,2017
"AG005914",1711350.00,85567.00,2017
"AG005917",8760762.00,438037.00,2017
"AG005934",16199168.00,809956.00,2017
"AG005935",45118200.00,2255909.00,2017
"AG005940",1621150.00,81057.00,2017
"AG005943",5553251.00,302129.00,2017
"AG005944",12160666.00,674581.00,2017
