"PRODUCERSOURCECD","ytd_pretax_income","ytd_tax","income_year"
"AG002117",92301866.00,0.00,2016
"AG002118",21538676.00,0.00,2016
"AG002129",28900041.00,1703419.00,2016
"AG002132",190456928.00,9522843.00,2016
"AG002140",1350030679.00,67501528.00,2016
"AG002157",13012342.00,0.00,2016
"AG002160",291307.00,14565.00,2016
"AG002163",45827566.00,0.00,2016
"AG002164",36589267.00,0.00,2016
"AG002181",8564784.00,428238.00,2016
"AG002187",7444680.00,372233.00,2016
"AG002196",2361000.00,118050.00,2016
"AG002197",24147020.00,0.00,2016
"AG002212",62804489.00,0.00,2016
"AG002213",72490371.00,0.00,2016
"AG002215",98939646.00,0.00,2016
"AG002219",159813996.00,8077149.00,2016
"AG002220",20079062.00,0.00,2016
"AG002232",52062242.00,0.00,2016
"AG002234",158996211.00,7949806.00,2016
"AG002235",608091836.00,30404589.00,2016
"AG002239",28454739.00,1681153.00,2016
"AG002257",37386808.00,1869338.00,2016
"AG002258",4929900.00,246494.00,2016
"AG002260",10670040.00,533500.00,2016
"AG002267",102753872.00,5137692.00,2016
"AG002288",31686518.00,1684871.00,2016
"AG002329",2637900.00,131895.00,2016
"AG002330",15023180.00,0.00,2016
"AG002342",53774827.00,0.00,2016
"AG002343",1614150.00,80707.00,2016
"AG002356",5787670.00,289382.00,2016
"AG002360",313825.00,15691.00,2016
"AG002364",141963080.00,7098151.00,2016
"AG002366",15038538.00,801340.00,2016
"AG002372",29251644.00,0.00,2016
"AG002375",63284060.00,0.00,2016
"AG002382",20777915.00,0.00,2016
"AG002384",3520115.00,0.00,2016
"AG002409",102472471.00,5123618.00,2016
"AG002410",135079690.00,6753979.00,2016
"AG002412",55450708.00,2772535.00,2016
"AG002423",3011000.00,150549.00,2016
"AG002447",632600.00,31630.00,2016
"AG002460",325430132.00,16271505.00,2016
"AG002463",1072556387.00,53627814.00,2016
"AG002477",36614800.00,0.00,2016
"AG002478",2558900.00,127945.00,2016
"AG002480",476682819.00,23834136.00,2016
"AG002481",124269543.00,6213472.00,2016
"AG002502",33911900.00,0.00,2016
"AG002506",1294275.00,64713.00,2016
"AG002510",18622140.00,0.00,2016
"AG002519",458375.00,22918.00,2016
"AG002522",79502674.00,0.00,2016
"AG002523",3504500.00,175225.00,2016
"AG002527",11623721.00,0.00,2016
"AG002541",4049895.00,202493.00,2016
"AG002558",322071572.00,16103572.00,2016
"AG002559",504458028.00,25222896.00,2016
"AG002564",2434795.00,121739.00,2016
"AG002586",13995015.00,699750.00,2016
"AG002591",33021082.00,0.00,2016
"AG002593",312074154.00,15603702.00,2016
"AG002598",59765398.00,0.00,2016
"AG002601",8772250.00,0.00,2016
"AG002603",199695436.00,9984765.00,2016
"AG002605",1377610.00,68880.00,2016
"AG002616",78461133.00,0.00,2016
"AG002621",45563125.00,2278154.00,2016
"AG002623",55715466.00,0.00,2016
"AG002626",139206892.00,6960341.00,2016
"AG002628",4617800.00,230890.00,2016
"AG002639",38008575.00,0.00,2016
"AG002645",33058439.00,0.00,2016
"AG002652",4647620.00,232379.00,2016
"AG002659",467021066.00,23351049.00,2016
"AG002660",101422311.00,5071110.00,2016
"AG002678",17910361.00,0.00,2016
"AG002680",5160600.00,258029.00,2016
"AG002681",151989612.00,7599476.00,2016
"AG002690",24107493.00,0.00,2016
"AG002717",19420825.00,971039.00,2016
"AG002725",161054711.00,8052731.00,2016
"AG002726",3707860.00,185393.00,2016
"AG002727",3033600.00,151680.00,2016
"AG002729",13233720.00,0.00,2016
"AG002731",5097885.00,254894.00,2016
"AG002733",123671994.00,6288861.00,2016
"AG002734",32357987.00,1641184.00,2016
"AG002739",8880120.00,0.00,2016
"AG002741",11140290.00,0.00,2016
"AG002743",3739375.00,186968.00,2016
"AG002744",14777934.00,825347.00,2016
"AG002745",10682547.00,534127.00,2016
"AG002759",106214122.00,5310702.00,2016
"AG002785",20148175.00,0.00,2016
"AG002790",1503075.00,75153.00,2016
"AG002793",14981295.00,0.00,2016
"AG002802",5166450.00,258322.00,2016
"AG002806",108504910.00,5425242.00,2016
"AG002821",56488563.00,2896312.00,2016
"AG002823",2381275.00,119063.00,2016
"AG002830",9315060.00,465753.00,2016
"AG002839",115588549.00,5779423.00,2016
"AG002849",4862540.00,243127.00,2016
"AG002850",631500.00,31575.00,2016
"AG002855",165955530.00,8297770.00,2016
"AG002876",43728807.00,0.00,2016
"AG002877",11341825.00,0.00,2016
"AG002884",8302820.00,415139.00,2016
"AG002903",83867852.00,0.00,2016
"AG002907",11415516.00,0.00,2016
"AG002909",527375.00,26368.00,2016
"AG002912",65998859.00,3299941.00,2016
"AG002913",70391402.00,0.00,2016
"AG002914",371777718.00,18588884.00,2016
"AG002915",13996774.00,0.00,2016
"AG002920",81970277.00,0.00,2016
"AG002921",1092300541.00,54615020.00,2016
"AG002922",117773220.00,5888656.00,2016
