GRPPRODNSUMMBKSEQ,PRODNUNITCD,PRODNBASISCD,TRANSACTIONDT,PROCESSDT,PRODUCTSEQ,PRODUCTCD,PRODVERSION,PRODUCTORDER,ACCOUNTCD,PRODUCERCD,PRODUCERDESIGNCD,CHANNELTYPECD,ROOTAGENCYCD,PARENTAGENCYCD,PRODUCERBRANCHCD,PRODUCERSTATUSCD,SRCAGTCLASSIFICATIONCD,SRCAGTDESIGNCD,SRCAGTSTATUSCD,PRODNWEEK,PRODNMONTH,PRODNYEAR,PRODNGROUPCD,DESIGNGROUPCD,SRCPRODNGROUPCD,PRODNVALUE,SUPERVISORCD,SUPERVISORDESIGCD,TEAMCD,MONITORINGSTAFFCD,MONITORINGSTAFFDESIGNCD,MONITORINGSTAFFOFFICECD,MONITORINGGROUPCD,SRCAGTCHANNELCD,SRCAGTROOTAGENCYCD,SRCAGTPARENTAGENCYCD,SUPERVISORAGENTKEYCD,SUPERVISORDESIGNKEYCD,CREATEDBY,CREATEDDT,CREATEDAT,UPDATEDBY,UPDATEDDT,UPDATEDAT,ROWVERSION,PRODNSUMMSEQ,WEIGHTAGE
12509981,REFIP,PREMIUM,2017-02-28,2017-02-28,668,TLR1,1,,,3426,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,1036000,3342,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559716152,100
12539713,REFIP,PREMIUM,2017-02-28,2017-02-28,685,CIB1,1,,,3339,BR,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,BRTCB,,TOTCB,8282000,3145,BK,,,,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,560085777,100
12539725,REFIP,PREMIUM,2017-02-28,2017-02-28,698,EDU4,1,,,3339,BR,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,BRTCB,,TOTCB,10900000,3145,BK,,,,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,560085818,100
12539730,REFIP,PREMIUM,2017-02-28,2017-02-28,700,FSR3,1,,,3342,BR,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,BRTCB,,TOTCB,172000,3145,BK,,,,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,560085834,100
12539749,REFIP,PREMIUM,2017-02-28,2017-02-28,685,CIB1,1,,,3342,BR,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,BRTCB,,TOTCB,30678000,3145,BK,,,,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,560085899,100
12539764,REFIP,PREMIUM,2017-02-28,2017-02-28,672,WOP1,1,,,3342,BR,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,BRTCB,,TOTCB,831000,3145,BK,,,,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,560085945,100
12539771,REFIP,PREMIUM,2017-02-28,2017-02-28,697,EDU3,1,,,3343,BR,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,BRTCB,,TOTCB,16965000,3145,BK,,,,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,560085956,100
12539776,REFIP,PREMIUM,2017-02-28,2017-02-28,700,FSR3,1,,,3343,BR,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,BRTCB,,TOTCB,146000,3145,BK,,,,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,560085964,100
12539784,REFIP,PREMIUM,2017-02-28,2017-02-28,685,CIB1,1,,,3344,BR,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,BRTCB,,TOTCB,15844000,3145,BK,,,,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,560085977,100
12539790,REFIP,PREMIUM,2017-02-28,2017-02-28,669,HSR1,1,,,3344,BR,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,BRTCB,,TOTCB,480000,3145,BK,,,,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,560085987,100
12539792,REFIP,PREMIUM,2017-02-28,2017-02-28,698,EDU4,1,,,3344,BR,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,BRTCB,,TOTCB,12450000,3145,BK,,,,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,560085991,100
12539795,REFIP,PREMIUM,2017-02-28,2017-02-28,685,CIB1,1,,,3337,BR,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,BRTCB,,TOTCB,44468000,3145,BK,,,,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,560085996,100
12539800,REFIP,PREMIUM,2017-02-28,2017-02-28,669,HSR1,1,,,3337,BR,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,BRTCB,,TOTCB,254000,3145,BK,,,,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,560086005,100
12539808,REFIP,PREMIUM,2017-02-28,2017-02-28,670,ADD1,1,,,3337,BR,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,BRTCB,,TOTCB,1080000,3145,BK,,,,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,560086020,100
12539814,REFIP,PREMIUM,2017-02-28,2017-02-28,685,CIB1,1,,,3335,BR,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,BRTCB,,TOTCB,8695000,3145,BK,,,,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,560086031,100
12539831,REFIP,PREMIUM,2017-02-28,2017-02-28,700,FSR3,1,,,5288,BR,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,BRTCB,,TOTCB,326000,3145,BK,,,,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,560086061,100
12539834,REFIP,PREMIUM,2017-02-28,2017-02-28,685,CIB1,1,,,5288,BR,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,BRTCB,,TOTCB,29731000,3145,BK,,,,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,560086066,100
12510028,REFIP,PREMIUM,2017-02-28,2017-02-28,685,CIB1,1,,,6418,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,8686000,6416,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559716288,100
12510077,REFIP,PREMIUM,2017-02-28,2017-02-28,685,CIB1,1,,,3350,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,16672000,3324,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559716657,100
12510153,REFIP,PREMIUM,2017-02-28,2017-02-28,700,FSR3,1,,,5334,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,172000,5333,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559717112,100
12510174,REFIP,PREMIUM,2017-02-28,2017-02-28,700,FSR3,1,,,5291,TO,BANKSTAFF,2338,2338,,ACTIVE,,,,9,2,2017,TOTCB,,PERSONNEL,49000,5288,BR,,,,,,,,,3145,BK,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559717171,100
12510451,IP,PREMIUM,2017-02-28,2017-02-28,670,ADD1,1,,,2718,IL,INHOUSE,2339,2339,2685,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,540000,,,,23991,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559708363,100
12510562,APE,PREMIUM,2017-02-28,2017-02-28,670,ADD1,1,,,27574,IL,INHOUSE,2339,2339,2685,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,1404000,,,,23991,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559710471,100
12510563,FYP,PREMIUM,2017-02-28,2017-02-28,670,ADD1,1,,,27574,IL,INHOUSE,2339,2339,2685,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,1404000,,,,23991,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559710472,100
12510572,IP,PREMIUM,2017-02-28,2017-02-28,670,ADD1,1,,,3137,IL,INHOUSE,2339,2339,2685,ACTIVE,,,,9,2,2017,ILDEF2,,PERSONNEL,1080000,,,,23991,TH,,,,,,,,SYSTEM,2017-03-30,KPIBREAKUPSCRIPT,,,,1,559710710,100
